"","X1","Dscore","att","tfat","tthin","sex","STATE","therm.diff"
"1",1,0.654192025376028,-0.8979079883257,10,10,1,"PA",0
"2",2,-0.0277649301440087,NA,NA,NA,NA,NA,NA
"3",3,NA,-0.8979079883257,6,6,1,"GA",0
"4",4,0.481895734939309,0.483265634160461,5,7,1,"OH",2
"5",5,-0.0954239411873733,1.86443925664662,6,9,NA,NA,3
"6",6,NA,NA,NA,NA,NA,NA,NA
"7",7,NA,NA,NA,NA,NA,NA,NA
"8",8,NA,NA,NA,NA,NA,NA,NA
"9",9,0.360404216519819,0.483265634160461,8,8,NA,"LA",0
"10",10,0.0579426423704969,0.483265634160461,NA,NA,NA,NA,NA
"11",11,-0.180660123635275,NA,NA,NA,NA,NA,NA
"12",12,NA,NA,NA,NA,NA,NA,NA
"13",13,-0.00113950802996611,-0.8979079883257,10,10,2,"WA",0
"14",14,0.276332286705268,-0.8979079883257,7,8,1,"WI",1
"15",15,NA,NA,NA,NA,NA,NA,NA
"16",16,NA,NA,NA,NA,NA,NA,NA
"17",17,0.28634635492941,0.483265634160461,4,4,1,"TX",0
"18",18,-0.0502623164068136,1.86443925664662,1,10,1,"NJ",9
"19",19,NA,NA,NA,NA,NA,NA,NA
"20",20,NA,NA,NA,NA,NA,NA,NA
"21",21,NA,NA,NA,NA,NA,NA,NA
"22",22,0.678561575020462,0.483265634160461,5,5,1,"ME",0
"23",23,-0.0793729064569376,-0.8979079883257,9,10,1,"CA",1
"24",24,NA,NA,NA,NA,NA,NA,NA
"25",25,NA,-0.8979079883257,5,5,2,"OH",0
"26",26,NA,NA,NA,NA,NA,NA,NA
"27",27,NA,NA,NA,NA,NA,NA,NA
"28",28,0.53330380143998,-0.8979079883257,5,5,2,"OH",0
"29",29,NA,-0.8979079883257,5,5,2,"OH",0
"30",30,0.0709294081472853,0.483265634160461,8,8,NA,NA,0
"31",31,0.38225415298187,0.483265634160461,8,6,2,"CA",-2
"32",32,0.0143149027615366,0.483265634160461,5,6,2,"MN",1
"33",33,0.647422121490758,0.483265634160461,10,10,1,"MN",0
"34",34,NA,-0.8979079883257,6,6,1,NA,0
"35",35,0.290420264745425,0.483265634160461,5,5,1,"MN",0
"36",36,-0.155659047603542,1.86443925664662,8,8,1,"MA",0
"37",37,NA,NA,NA,NA,NA,NA,NA
"38",38,0.436296956674779,0.483265634160461,3,6,1,"OH",3
"39",39,-0.137351863265347,-0.8979079883257,5,5,1,NA,0
"40",40,0.198299374411663,NA,NA,NA,NA,NA,NA
"41",41,-0.152146838282171,0.483265634160461,7,3,NA,NA,-4
"42",42,0.831383531221469,-0.8979079883257,5,5,1,"IL",0
"43",43,-0.20601143072644,NA,NA,NA,NA,NA,NA
"44",44,0.710937467604894,NA,NA,NA,NA,NA,NA
"45",45,0.229513956454929,-0.8979079883257,4,8,1,"IL",4
"46",46,NA,NA,NA,NA,NA,NA,NA
"47",47,0.648110860177029,NA,NA,10,1,"NY",NA
"48",48,0.164294472080672,-0.8979079883257,5,5,1,"MN",0
"49",49,NA,NA,NA,NA,NA,NA,NA
"50",50,0.319636373262806,0.483265634160461,6,8,1,"IL",2
"51",51,0.898828244301021,-0.8979079883257,6,5,1,"NC",-1
"52",52,-0.507512970109713,NA,NA,NA,NA,NA,NA
"53",53,0.318152535051424,NA,NA,NA,NA,NA,NA
"54",54,0.193698190338087,0.483265634160461,4,7,1,"MO",3
"55",55,NA,NA,NA,NA,NA,NA,NA
"56",56,NA,NA,NA,NA,NA,NA,NA
"57",57,0.909833810404189,-0.8979079883257,5,7,1,"IN",2
"58",58,0.574816182231728,0.483265634160461,5,6,1,NA,1
"59",59,0.0997627936018274,-0.8979079883257,8,8,1,"AZ",0
"60",60,-0.0286023391105866,-0.8979079883257,5,5,1,NA,0
"61",61,-0.0196056510047146,1.86443925664662,5,10,2,"CT",5
